time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,time,price,asset_id
2025-01-02T03:00:00.0000000Z,2025-01-02T04:00:00.0000000Z,2025-01-02T03:00:39.8400000Z,2025-01-02T03:59:24.2640000Z,95073,95078,94731,94833,24.446342079999997,283,2025-01-02 03:00:00+00:00,95073,BTC
2025-01-02T04:00:00.0000000Z,2025-01-02T05:00:00.0000000Z,2025-01-02T04:00:02.9180000Z,2025-01-02T04:59:05.5080000Z,94836,95811,94819,95509,43.208723510000006,430,2025-01-02 04:00:00+00:00,94836,BTC
2025-01-02T05:00:00.0000000Z,2025-01-02T06:00:00.0000000Z,2025-01-02T05:00:01.0260000Z,2025-01-02T05:59:40.3760000Z,95526,95628,95250,95421,32.06716097000001,226,2025-01-02 05:00:00+00:00,95526,BTC
2025-01-02T06:00:00.0000000Z,2025-01-02T07:00:00.0000000Z,2025-01-02T06:00:01.1980000Z,2025-01-02T06:59:11.7860000Z,95424,95524,95229,95425,5.39643515,132,2025-01-02 06:00:00+00:00,95424,BTC
2025-01-02T07:00:00.0000000Z,2025-01-02T08:00:00.0000000Z,2025-01-02T07:00:08.0160000Z,2025-01-02T07:59:34.2610000Z,95440,95725,95391,95700,44.29069401,337,2025-01-02 07:00:00+00:00,95440,BTC
2025-01-02T08:00:00.0000000Z,2025-01-02T09:00:00.0000000Z,2025-01-02T08:00:00.4910000Z,2025-01-02T08:59:44.5200000Z,95699,96042,95489,96007,25.799595890000003,388,2025-01-02 08:00:00+00:00,95699,BTC
2025-01-02T09:00:00.0000000Z,2025-01-02T10:00:00.0000000Z,2025-01-02T09:00:14.6990000Z,2025-01-02T09:59:50.3740000Z,95960,96643,95915,96634,47.95745663000001,442,2025-01-02 09:00:00+00:00,95960,BTC
2025-01-02T10:00:00.0000000Z,2025-01-02T11:00:00.0000000Z,2025-01-02T10:00:08.4370000Z,2025-01-02T10:59:49.5370000Z,96651,96662,96432,96610,24.219537239999998,362,2025-01-02 10:00:00+00:00,96651,BTC
2025-01-02T11:00:00.0000000Z,2025-01-02T12:00:00.0000000Z,2025-01-02T11:00:03.6670000Z,2025-01-02T11:59:51.7150000Z,96613,96747,96390,96618,18.068389299999996,311,2025-01-02 11:00:00+00:00,96613,BTC
2025-01-02T12:00:00.0000000Z,2025-01-02T13:00:00.0000000Z,2025-01-02T12:00:08.0150000Z,2025-01-02T12:59:53.8240000Z,96646,96777,96538,96754,19.483568750000003,358,2025-01-02 12:00:00+00:00,96646,BTC
2025-01-02T13:00:00.0000000Z,2025-01-02T14:00:00.0000000Z,2025-01-02T13:00:00.7660000Z,2025-01-02T14:00:00.9210000Z,96754,96840,96354,96363,35.96943904999999,532,2025-01-02 13:00:00+00:00,96754,BTC
2025-01-02T14:00:00.0000000Z,2025-01-02T15:00:00.0000000Z,2025-01-02T14:00:05.8340000Z,2025-01-02T14:59:52.6950000Z,96371,97284,95869,97151,243.54743070000012,1469,2025-01-02 14:00:00+00:00,96371,BTC
2025-01-02T15:00:00.0000000Z,2025-01-02T16:00:00.0000000Z,2025-01-02T15:00:03.3790000Z,2025-01-02T15:59:58.1470000Z,97215,97221,96074,96363,65.12230928,741,2025-01-02 15:00:00+00:00,97215,BTC
2025-01-02T16:00:00.0000000Z,2025-01-02T17:00:00.0000000Z,2025-01-02T16:01:29.0910000Z,2025-01-02T16:59:39.7250000Z,96401,97562,95964,97149,214.3991910399999,1530,2025-01-02 16:00:00+00:00,96401,BTC
2025-01-02T17:00:00.0000000Z,2025-01-02T18:00:00.0000000Z,2025-01-02T17:00:01.0630000Z,2025-01-02T17:59:59.5330000Z,97148,97512,96255,96678,80.08505473000002,727,2025-01-02 17:00:00+00:00,97148,BTC
2025-01-02T18:00:00.0000000Z,2025-01-02T19:00:00.0000000Z,2025-01-02T18:00:12.4260000Z,2025-01-02T18:59:50.5410000Z,96723,97271,96337,97236,22.492156310000013,435,2025-01-02 18:00:00+00:00,96723,BTC
2025-01-02T19:00:00.0000000Z,2025-01-02T20:00:00.0000000Z,2025-01-02T19:00:00.9740000Z,2025-01-02T19:59:33.5130000Z,97235,97700,97114,97212,19.135742129999997,406,2025-01-02 19:00:00+00:00,97235,BTC
2025-01-02T20:00:00.0000000Z,2025-01-02T21:00:00.0000000Z,2025-01-02T20:00:05.0470000Z,2025-01-02T20:59:54.7220000Z,97303,97745,97213,97220,23.211299179999997,688,2025-01-02 20:00:00+00:00,97303,BTC
2025-01-02T21:00:00.0000000Z,2025-01-02T22:00:00.0000000Z,2025-01-02T21:00:16.8740000Z,2025-01-02T21:59:28.8780000Z,97231,97257,96951,97136,7.728094110000001,311,2025-01-02 21:00:00+00:00,97231,BTC
2025-01-02T22:00:00.0000000Z,2025-01-02T23:00:00.0000000Z,2025-01-02T22:00:20.3460000Z,2025-01-02T22:59:46.7780000Z,97068,97090,96616,96831,19.598876299999986,327,2025-01-02 22:00:00+00:00,97068,BTC
2025-01-02T23:00:00.0000000Z,2025-01-03T00:00:00.0000000Z,2025-01-02T23:00:00.7890000Z,2025-01-02T23:59:57.1940000Z,96780,96984,96711,96907,4.804926919999998,204,2025-01-02 23:00:00+00:00,96780,BTC
2025-01-03T00:00:00.0000000Z,2025-01-03T01:00:00.0000000Z,2025-01-03T00:00:37.7110000Z,2025-01-03T00:59:40.7370000Z,96895,96980,96696,96740,32.551501410000014,347,2025-01-03 00:00:00+00:00,96895,BTC
2025-01-03T01:00:00.0000000Z,2025-01-03T02:00:00.0000000Z,2025-01-03T01:00:00.6330000Z,2025-01-03T01:59:49.4610000Z,96740,96909,96585,96888,19.373355059999994,293,2025-01-03 01:00:00+00:00,96740,BTC
2025-01-03T02:00:00.0000000Z,2025-01-03T03:00:00.0000000Z,2025-01-03T02:00:06.3130000Z,2025-01-03T02:59:53.7980000Z,96891,97234,96760,96889,106.45258390999996,651,2025-01-03 02:00:00+00:00,96891,BTC
2025-01-03T03:00:00.0000000Z,2025-01-03T04:00:00.0000000Z,2025-01-03T03:01:03.5830000Z,2025-01-03T03:59:00.2580000Z,96922,97009,96782,96998,20.50579639,175,2025-01-03 03:00:00+00:00,96922,BTC
2025-01-03T04:00:00.0000000Z,2025-01-03T05:00:00.0000000Z,2025-01-03T04:00:01.8710000Z,2025-01-03T04:59:34.6680000Z,96974,96974,96712,96727,9.742018849999997,177,2025-01-03 04:00:00+00:00,96974,BTC
2025-01-03T05:00:00.0000000Z,2025-01-03T06:00:00.0000000Z,2025-01-03T05:00:13.8200000Z,2025-01-03T05:59:49.8930000Z,96736,96774,96528,96673,14.042407440000007,238,2025-01-03 05:00:00+00:00,96736,BTC
2025-01-03T06:00:00.0000000Z,2025-01-03T07:00:00.0000000Z,2025-01-03T06:00:00.8760000Z,2025-01-03T06:56:45.3870000Z,96674,96835,96451,96482,11.29423806,276,2025-01-03 06:00:00+00:00,96674,BTC
2025-01-03T07:00:00.0000000Z,2025-01-03T08:00:00.0000000Z,2025-01-03T07:00:24.6910000Z,2025-01-03T07:59:55.1800000Z,96495,96572,96216,96247,22.209199129999995,351,2025-01-03 07:00:00+00:00,96495,BTC
2025-01-03T08:00:00.0000000Z,2025-01-03T09:00:00.0000000Z,2025-01-03T08:00:00.5280000Z,2025-01-03T08:59:34.4320000Z,96226,96446,96042,96042,38.57187869999999,339,2025-01-03 08:00:00+00:00,96226,BTC
2025-01-03T09:00:00.0000000Z,2025-01-03T10:00:00.0000000Z,2025-01-03T09:00:00.5840000Z,2025-01-03T09:59:04.6860000Z,96042,96609,96042,96508,42.77999753999999,343,2025-01-03 09:00:00+00:00,96042,BTC
2025-01-03T10:00:00.0000000Z,2025-01-03T11:00:00.0000000Z,2025-01-03T10:00:18.8000000Z,2025-01-03T10:59:16.7470000Z,96483,96562,96331,96436,35.14040271000002,336,2025-01-03 10:00:00+00:00,96483,BTC
2025-01-03T11:00:00.0000000Z,2025-01-03T12:00:00.0000000Z,2025-01-03T11:00:03.4520000Z,2025-01-03T11:59:43.6080000Z,96433,96747,96413,96690,14.070101369999994,277,2025-01-03 11:00:00+00:00,96433,BTC
2025-01-03T12:00:00.0000000Z,2025-01-03T13:00:00.0000000Z,2025-01-03T12:00:40.9040000Z,2025-01-03T12:59:21.1520000Z,96690,96852,96608,96609,24.154504119999995,296,2025-01-03 12:00:00+00:00,96690,BTC
2025-01-03T13:00:00.0000000Z,2025-01-03T14:00:00.0000000Z,2025-01-03T13:00:00.5020000Z,2025-01-03T13:59:49.1860000Z,96608,96758,96423,96451,46.47323467999999,430,2025-01-03 13:00:00+00:00,96608,BTC
2025-01-03T14:00:00.0000000Z,2025-01-03T15:00:00.0000000Z,2025-01-03T14:00:09.4250000Z,2025-01-03T14:59:51.8670000Z,96458,97267,96458,96975,154.31766278999999,931,2025-01-03 14:00:00+00:00,96458,BTC
2025-01-03T15:00:00.0000000Z,2025-01-03T16:00:00.0000000Z,2025-01-03T15:00:03.4800000Z,2025-01-03T15:59:52.0260000Z,96948,97588,96702,97461,127.44334174000005,947,2025-01-03 15:00:00+00:00,96948,BTC
2025-01-03T16:00:00.0000000Z,2025-01-03T17:00:00.0000000Z,2025-01-03T16:00:00.4570000Z,2025-01-03T16:59:58.8980000Z,97455,98374,97364,97809,138.04985124,1066,2025-01-03 16:00:00+00:00,97455,BTC
2025-01-03T17:00:00.0000000Z,2025-01-03T18:00:00.0000000Z,2025-01-03T17:00:02.4180000Z,2025-01-03T17:59:31.9900000Z,97842,98228,97813,97981,22.06438858,498,2025-01-03 17:00:00+00:00,97842,BTC
2025-01-03T18:00:00.0000000Z,2025-01-03T19:00:00.0000000Z,2025-01-03T18:00:05.2830000Z,2025-01-03T18:59:56.6660000Z,98016,98658,97953,98483,31.50850743000001,518,2025-01-03 18:00:00+00:00,98016,BTC
2025-01-03T19:00:00.0000000Z,2025-01-03T20:00:00.0000000Z,2025-01-03T19:00:03.7170000Z,2025-01-03T19:59:52.7820000Z,98495,98951,98486,98573,101.32861686000001,667,2025-01-03 19:00:00+00:00,98495,BTC
2025-01-03T20:00:00.0000000Z,2025-01-03T21:00:00.0000000Z,2025-01-03T20:00:06.3180000Z,2025-01-03T20:59:54.0400000Z,98557,98731,98268,98320,94.05942457999998,782,2025-01-03 20:00:00+00:00,98557,BTC
2025-01-03T21:00:00.0000000Z,2025-01-03T22:00:00.0000000Z,2025-01-03T21:00:00.3430000Z,2025-01-03T21:59:47.0160000Z,98300,98388,98159,98235,14.898923190000003,372,2025-01-03 21:00:00+00:00,98300,BTC
2025-01-03T22:00:00.0000000Z,2025-01-03T23:00:00.0000000Z,2025-01-03T22:00:15.0240000Z,2025-01-03T22:59:38.8250000Z,98272,98493,98219,98262,14.668108860000002,283,2025-01-03 22:00:00+00:00,98272,BTC
2025-01-03T23:00:00.0000000Z,2025-01-04T00:00:00.0000000Z,2025-01-03T23:00:00.3980000Z,2025-01-03T23:59:53.8400000Z,98277,98348,98024,98133,23.719053310000007,291,2025-01-03 23:00:00+00:00,98277,BTC
2025-01-04T00:00:00.0000000Z,2025-01-04T01:00:00.0000000Z,2025-01-04T00:00:05.8190000Z,2025-01-04T00:59:40.7200000Z,98133,98240,97882,97917,54.46996268000002,289,2025-01-04 00:00:00+00:00,98133,BTC
2025-01-04T01:00:00.0000000Z,2025-01-04T02:00:00.0000000Z,2025-01-04T01:00:02.3370000Z,2025-01-04T01:59:39.9330000Z,97919,98068,97787,98000,11.6258792,170,2025-01-04 01:00:00+00:00,97919,BTC
2025-01-04T02:00:00.0000000Z,2025-01-04T03:00:00.0000000Z,2025-01-04T02:00:06.6690000Z,2025-01-04T02:59:23.1350000Z,97994,98269,97813,98227,11.703681110000002,239,2025-01-04 02:00:00+00:00,97994,BTC
2025-01-04T03:00:00.0000000Z,2025-01-04T04:00:00.0000000Z,2025-01-04T03:00:29.6080000Z,2025-01-04T03:59:17.2410000Z,98250,98266,98012,98200,10.483400790000001,217,2025-01-04 03:00:00+00:00,98250,BTC
2025-01-04T04:00:00.0000000Z,2025-01-04T05:00:00.0000000Z,2025-01-04T04:00:02.8090000Z,2025-01-04T04:59:21.2250000Z,98160,98160,97866,97967,5.56507856,226,2025-01-04 04:00:00+00:00,98160,BTC
2025-01-04T05:00:00.0000000Z,2025-01-04T06:00:00.0000000Z,2025-01-04T05:00:45.2400000Z,2025-01-04T05:59:58.0170000Z,97973,98160,97944,98092,11.940660099999999,204,2025-01-04 05:00:00+00:00,97973,BTC
2025-01-04T06:00:00.0000000Z,2025-01-04T07:00:00.0000000Z,2025-01-04T06:00:18.2380000Z,2025-01-04T06:59:58.7010000Z,98098,98150,98001,98082,18.05170742,259,2025-01-04 06:00:00+00:00,98098,BTC
2025-01-04T07:00:00.0000000Z,2025-01-04T08:00:00.0000000Z,2025-01-04T07:00:27.5030000Z,2025-01-04T07:59:18.6840000Z,98092,98289,98061,98215,10.046691889999995,230,2025-01-04 07:00:00+00:00,98092,BTC
2025-01-04T08:00:00.0000000Z,2025-01-04T09:00:00.0000000Z,2025-01-04T08:00:00.8200000Z,2025-01-04T08:59:58.3480000Z,98237,98254,97893,97893,20.287241439999995,293,2025-01-04 08:00:00+00:00,98237,BTC
2025-01-04T09:00:00.0000000Z,2025-01-04T10:00:00.0000000Z,2025-01-04T09:00:00.4770000Z,2025-01-04T09:59:53.1560000Z,97892,97969,97540,97674,33.96642636,348,2025-01-04 09:00:00+00:00,97892,BTC
2025-01-04T10:00:00.0000000Z,2025-01-04T11:00:00.0000000Z,2025-01-04T10:00:09.2500000Z,2025-01-04T10:59:43.4190000Z,97657,97811,97601,97763,15.78356461,252,2025-01-04 10:00:00+00:00,97657,BTC
2025-01-04T11:00:00.0000000Z,2025-01-04T12:00:00.0000000Z,2025-01-04T11:00:16.8160000Z,2025-01-04T11:59:51.4600000Z,97762,97892,97685,97882,6.304133730000001,238,2025-01-04 11:00:00+00:00,97762,BTC
2025-01-04T12:00:00.0000000Z,2025-01-04T13:00:00.0000000Z,2025-01-04T12:00:15.3260000Z,2025-01-04T12:59:12.8020000Z,97856,97962,97772,97859,14.8347095,233,2025-01-04 12:00:00+00:00,97856,BTC
2025-01-04T13:00:00.0000000Z,2025-01-04T14:00:00.0000000Z,2025-01-04T13:00:13.7580000Z,2025-01-04T13:59:51.5930000Z,97861,98033,97739,97949,25.569073360000008,307,2025-01-04 13:00:00+00:00,97861,BTC
2025-01-04T14:00:00.0000000Z,2025-01-04T15:00:00.0000000Z,2025-01-04T14:00:01.9860000Z,2025-01-04T14:59:57.8820000Z,97945,98047,97822,98021,19.969705880000006,281,2025-01-04 14:00:00+00:00,97945,BTC
2025-01-04T15:00:00.0000000Z,2025-01-04T16:00:00.0000000Z,2025-01-04T15:00:28.5160000Z,2025-01-04T15:59:43.4840000Z,98027,98127,97540,97683,44.174061900000005,412,2025-01-04 15:00:00+00:00,98027,BTC
2025-01-04T16:00:00.0000000Z,2025-01-04T17:00:00.0000000Z,2025-01-04T16:00:05.8630000Z,2025-01-04T16:59:36.5550000Z,97660,97845,97577,97695,18.172513419999998,339,2025-01-04 16:00:00+00:00,97660,BTC
2025-01-04T17:00:00.0000000Z,2025-01-04T18:00:00.0000000Z,2025-01-04T17:00:01.8950000Z,2025-01-04T17:59:47.8470000Z,97700,98021,97682,98005,11.04401622,314,2025-01-04 17:00:00+00:00,97700,BTC
2025-01-04T18:00:00.0000000Z,2025-01-04T19:00:00.0000000Z,2025-01-04T18:00:06.7470000Z,2025-01-04T18:59:50.1790000Z,98006,98115,97904,97953,7.34966977,281,2025-01-04 18:00:00+00:00,98006,BTC
2025-01-04T19:00:00.0000000Z,2025-01-04T20:00:00.0000000Z,2025-01-04T19:00:57.0660000Z,2025-01-04T19:59:43.7440000Z,97972,98324,97924,98151,11.69492017,236,2025-01-04 19:00:00+00:00,97972,BTC
2025-01-04T20:00:00.0000000Z,2025-01-04T21:00:00.0000000Z,2025-01-04T20:00:02.8850000Z,2025-01-04T20:59:55.2790000Z,98162,98634,98162,98590,24.71529402000001,335,2025-01-04 20:00:00+00:00,98162,BTC
2025-01-04T21:00:00.0000000Z,2025-01-04T22:00:00.0000000Z,2025-01-04T21:00:03.9370000Z,2025-01-04T21:59:22.2780000Z,98641,98753,98339,98342,27.22785336,344,2025-01-04 21:00:00+00:00,98641,BTC
2025-01-04T22:00:00.0000000Z,2025-01-04T23:00:00.0000000Z,2025-01-04T22:00:06.2570000Z,2025-01-04T22:59:14.2100000Z,98372,98469,98268,98433,13.154170380000004,207,2025-01-04 22:00:00+00:00,98372,BTC
2025-01-04T23:00:00.0000000Z,2025-01-05T00:00:00.0000000Z,2025-01-04T23:00:03.9720000Z,2025-01-04T23:59:27.7990000Z,98389,98424,98148,98209,17.309837809999998,184,2025-01-04 23:00:00+00:00,98389,BTC
2025-01-05T00:00:00.0000000Z,2025-01-05T01:00:00.0000000Z,2025-01-05T00:00:04.5070000Z,2025-01-05T00:59:05.3630000Z,98218,98372,98148,98209,19.419623620000007,170,2025-01-05 00:00:00+00:00,98218,BTC
2025-01-05T01:00:00.0000000Z,2025-01-05T02:00:00.0000000Z,2025-01-05T01:00:25.4130000Z,2025-01-05T01:59:27.2490000Z,98212,98312,98039,98127,8.860695779999999,156,2025-01-05 01:00:00+00:00,98212,BTC
2025-01-05T02:00:00.0000000Z,2025-01-05T03:00:00.0000000Z,2025-01-05T02:00:51.3670000Z,2025-01-05T02:59:37.4570000Z,98132,98213,98092,98213,3.3330137599999996,108,2025-01-05 02:00:00+00:00,98132,BTC
2025-01-05T03:00:00.0000000Z,2025-01-05T04:00:00.0000000Z,2025-01-05T03:00:09.8540000Z,2025-01-05T03:58:50.2120000Z,98214,98215,98044,98165,1.7322972500000005,140,2025-01-05 03:00:00+00:00,98214,BTC
2025-01-05T04:00:00.0000000Z,2025-01-05T05:00:00.0000000Z,2025-01-05T04:00:20.0110000Z,2025-01-05T04:59:59.3900000Z,98208,98481,98204,98332,23.635962850000002,260,2025-01-05 04:00:00+00:00,98208,BTC
2025-01-05T05:00:00.0000000Z,2025-01-05T06:00:00.0000000Z,2025-01-05T05:00:19.1800000Z,2025-01-05T05:58:21.8070000Z,98355,98445,98268,98340,20.298128280000004,127,2025-01-05 05:00:00+00:00,98355,BTC
2025-01-05T06:00:00.0000000Z,2025-01-05T07:00:00.0000000Z,2025-01-05T06:01:18.6610000Z,2025-01-05T06:58:49.3990000Z,98340,98467,98289,98443,2.64622901,76,2025-01-05 06:00:00+00:00,98340,BTC
2025-01-05T07:00:00.0000000Z,2025-01-05T08:00:00.0000000Z,2025-01-05T07:00:03.8980000Z,2025-01-05T07:59:31.9250000Z,98447,98447,98257,98257,10.987060829999999,105,2025-01-05 07:00:00+00:00,98447,BTC
